Snapshot_Date,Week No,Rank,Operator,Alliance,Total_TEU,Total_Ships,Owned_TEU,Owned_Ships,Chartered_TEU,Chartered_Ships,Orderbook_TEU,Orderbook_Ships
2026-03-23,13,1.0,Mediterranean Shg Co,,7231171,987,4576627.0,733.0,2654544.0,254.0,2186192.0,129.0
2026-03-23,13,2.0,Maersk,,4635548,732,2820743.0,347.0,1814805.0,385.0,1220367.0,93.0
2026-03-23,13,3.0,CMA CGM Group,Ocean Alliance,4253437,723,2680805.0,361.0,1572632.0,362.0,1821908.0,152.0
2026-03-23,13,4.0,COSCO Group,Ocean Alliance,3594950,554,2162522.0,208.0,1432428.0,346.0,1397244.0,111.0
2026-03-23,13,5.0,Hapag-Lloyd,,2384201,286,1452408.0,133.0,931793.0,153.0,476856.0,58.0
2026-03-23,13,6.0,ONE (Ocean Network Express),Premier Alliance,2104412,271,959348.0,105.0,1145064.0,166.0,590128.0,50.0
2026-03-23,13,7.0,Evergreen Line,Ocean Alliance,1973231,239,1389575.0,164.0,583656.0,75.0,908528.0,75.0
2026-03-23,13,8.0,HMM Co Ltd,Premier Alliance,1025953,97,842522.0,73.0,183431.0,24.0,233578.0,37.0
2026-03-23,13,9.0,Yang Ming Marine Transport Corp.,Premier Alliance,723368,96,348156.0,60.0,375212.0,36.0,221560.0,17.0
2026-03-23,13,10.0,Zim,,698205,115,92934.0,15.0,605271.0,100.0,189328.0,24.0
2026-03-23,13,11.0,Wan Hai Lines,,591132,120,591132.0,120.0,,,433200.0,44.0
2026-03-23,13,12.0,PIL (Pacific Int. Line),,443154,100,310196.0,81.0,132958.0,19.0,270676.0,26.0
2026-03-23,13,13.0,X-Press Feeders Group,,198107,107,107146.0,50.0,90961.0,57.0,41916.0,6.0
2026-03-23,13,14.0,SITC,,187472,121,163701.0,100.0,23771.0,21.0,39600.0,18.0
2026-03-23,13,15.0,UniFeeder,,168673,96,13582.0,2.0,155091.0,94.0,79161.0,15.0
2026-03-23,13,16.0,KMTC,,154447,65,85797.0,30.0,68650.0,35.0,54882.0,10.0
2026-03-23,13,17.0,IRISL Group,,144176,31,144176.0,31.0,,,,
2026-03-23,13,18.0,Global Feeder Shipping LLC,,134690,53,59054.0,24.0,75636.0,29.0,,
2026-03-23,13,19.0,Sinokor Merchant Marine,,125109,69,122696.0,67.0,2413.0,2.0,52000.0,4.0
2026-03-23,13,20.0,TS Lines,,107847,41,88921.0,35.0,18926.0,6.0,98616.0,16.0
2026-03-23,13,21.0,RCL (Regional Container L.),,105046,36,95169.0,30.0,9877.0,6.0,129780.0,18.0
