Date,Price $/mt,Change,High,Low,Spread,Location,Fuel_Type
12-Mar-2026,979.0,58.5,979.0,979.0,0.0,Global,VLSFO
11-Mar-2026,920.5,59.0,920.5,920.5,0.0,Global,VLSFO
10-Mar-2026,861.5,20.0,861.5,861.5,0.0,Global,VLSFO
09-Mar-2026,841.5,101.5,841.5,841.5,0.0,Global,VLSFO
06-Mar-2026,740.0,49.5,740.0,740.0,0.0,Global,VLSFO
12-Mar-2026,1406.0,91.0,1406.0,1406.0,0.0,Global,MGO
11-Mar-2026,1315.0,60.0,1315.0,1315.0,0.0,Global,MGO
10-Mar-2026,1255.0,6.0,1255.0,1255.0,0.0,Global,MGO
09-Mar-2026,1249.0,114.5,1249.0,1249.0,0.0,Global,MGO
06-Mar-2026,1134.5,60.0,1134.5,1134.5,0.0,Global,MGO
12-Mar-2026,768.0,52.5,768.0,768.0,0.0,Global,IFO380
11-Mar-2026,715.5,3.5,715.5,715.5,0.0,Global,IFO380
10-Mar-2026,712.0,-40.5,712.0,712.0,0.0,Global,IFO380
09-Mar-2026,752.5,125.5,752.5,752.5,0.0,Global,IFO380
06-Mar-2026,627.0,44.0,627.0,627.0,0.0,Global,IFO380
12-Mar-2026,211.0,5.5,211.0,211.0,0.0,Global,SS
11-Mar-2026,205.5,56.0,205.5,205.5,0.0,Global,SS
10-Mar-2026,149.5,60.5,149.5,149.5,0.0,Global,SS
09-Mar-2026,89.0,-23.5,89.0,89.0,0.0,Global,SS
06-Mar-2026,112.5,5.0,112.5,112.5,0.0,Global,SS
12-Mar-2026,907.5,32.5,907.5,907.5,0.0,Global 4 Ports,VLSFO
11-Mar-2026,875.0,22.0,875.0,875.0,0.0,Global 4 Ports,VLSFO
10-Mar-2026,853.0,-57.0,853.0,853.0,0.0,Global 4 Ports,VLSFO
09-Mar-2026,910.0,194.0,910.0,910.0,0.0,Global 4 Ports,VLSFO
06-Mar-2026,716.0,65.5,716.0,716.0,0.0,Global 4 Ports,VLSFO
12-Mar-2026,1389.5,60.0,1389.5,1389.5,0.0,Global 4 Ports,MGO
11-Mar-2026,1329.5,47.0,1329.5,1329.5,0.0,Global 4 Ports,MGO
10-Mar-2026,1282.5,-108.5,1282.5,1282.5,0.0,Global 4 Ports,MGO
09-Mar-2026,1391.0,196.5,1391.0,1391.0,0.0,Global 4 Ports,MGO
06-Mar-2026,1194.5,104.5,1194.5,1194.5,0.0,Global 4 Ports,MGO
12-Mar-2026,1075.5,8.0,1075.5,1075.5,0.0,Global 4 Ports,BIO
11-Mar-2026,1067.5,-20.0,1067.5,1067.5,0.0,Global 4 Ports,BIO
10-Mar-2026,1087.5,-100.0,1087.5,1087.5,0.0,Global 4 Ports,BIO
09-Mar-2026,1187.5,174.0,1187.5,1187.5,0.0,Global 4 Ports,BIO
06-Mar-2026,1013.5,93.0,1013.5,1013.5,0.0,Global 4 Ports,BIO
12-Mar-2026,770.0,41.5,770.0,770.0,0.0,Global 4 Ports,IFO380
11-Mar-2026,728.5,-26.0,728.5,728.5,0.0,Global 4 Ports,IFO380
10-Mar-2026,754.5,-103.5,754.5,754.5,0.0,Global 4 Ports,IFO380
09-Mar-2026,858.0,216.0,858.0,858.0,0.0,Global 4 Ports,IFO380
06-Mar-2026,642.0,67.5,642.0,642.0,0.0,Global 4 Ports,IFO380
12-Mar-2026,137.5,-9.0,137.5,137.5,0.0,Global 4 Ports,SS
11-Mar-2026,146.5,47.5,146.5,146.5,0.0,Global 4 Ports,SS
10-Mar-2026,99.0,47.5,99.0,99.0,0.0,Global 4 Ports,SS
09-Mar-2026,51.5,-22.5,51.5,51.5,0.0,Global 4 Ports,SS
06-Mar-2026,74.0,-2.0,74.0,74.0,0.0,Global 4 Ports,SS
12-Mar-2026,953.0,61.0,953.0,953.0,0.0,Americas,VLSFO
11-Mar-2026,892.0,20.5,892.0,892.0,0.0,Americas,VLSFO
10-Mar-2026,871.5,14.0,871.5,871.5,0.0,Americas,VLSFO
09-Mar-2026,857.5,146.0,857.5,857.5,0.0,Americas,VLSFO
06-Mar-2026,711.5,22.0,711.5,711.5,0.0,Americas,VLSFO
12-Mar-2026,1268.5,46.0,1268.5,1268.5,0.0,Americas,MGO
11-Mar-2026,1222.5,21.5,1222.5,1222.5,0.0,Americas,MGO
10-Mar-2026,1201.0,26.5,1201.0,1201.0,0.0,Americas,MGO
09-Mar-2026,1174.5,132.5,1174.5,1174.5,0.0,Americas,MGO
06-Mar-2026,1042.0,22.5,1042.0,1042.0,0.0,Americas,MGO
12-Mar-2026,737.0,69.5,737.0,737.0,0.0,Americas,IFO380
11-Mar-2026,667.5,30.5,667.5,667.5,0.0,Americas,IFO380
10-Mar-2026,637.0,-29.0,637.0,637.0,0.0,Americas,IFO380
09-Mar-2026,666.0,78.0,666.0,666.0,0.0,Americas,IFO380
06-Mar-2026,588.0,25.0,588.0,588.0,0.0,Americas,IFO380
12-Mar-2026,215.5,-9.0,215.5,215.5,0.0,Americas,SS
11-Mar-2026,224.5,-10.5,224.5,224.5,0.0,Americas,SS
10-Mar-2026,235.0,43.0,235.0,235.0,0.0,Americas,SS
09-Mar-2026,192.0,68.5,192.0,192.0,0.0,Americas,SS
06-Mar-2026,123.5,-2.5,123.5,123.5,0.0,Americas,SS
12-Mar-2026,1116.0,74.5,1116.0,1116.0,0.0,APAC,VLSFO
11-Mar-2026,1041.5,132.0,1041.5,1041.5,0.0,APAC,VLSFO
10-Mar-2026,909.5,26.0,909.5,909.5,0.0,APAC,VLSFO
09-Mar-2026,883.5,76.0,883.5,883.5,0.0,APAC,VLSFO
06-Mar-2026,807.5,77.5,807.5,807.5,0.0,APAC,VLSFO
12-Mar-2026,1584.0,167.5,1584.0,1584.0,0.0,APAC,MGO
11-Mar-2026,1416.5,103.0,1416.5,1416.5,0.0,APAC,MGO
10-Mar-2026,1313.5,22.0,1313.5,1313.5,0.0,APAC,MGO
09-Mar-2026,1291.5,94.0,1291.5,1291.5,0.0,APAC,MGO
06-Mar-2026,1197.5,60.5,1197.5,1197.5,0.0,APAC,MGO
